ParkName,State,partySize,RateType,Equipment
Dollar Lake,NS ,2,Full,ST
Graves Island,NS ,2,Full,LT30ft
Mira River,NS ,4,Full,Tents
Caribou Munroes,NS ,3,Full,LT20ft
Rissers Beach,PE ,2,Full,LT30ft
Blomidon,QC ,2,Full,ST
Rissers Beach,NS ,2,Full,ST
Thomas Raddall,NS ,4,Full,LT20ft
Whycocomagh,NS ,5,Senior,LT30ft
Mira River,NS ,4,Full,LT20ft
Smileys,NS ,2,Full,LT30ft
Amherst Shore,NS ,2,Full,LT20ft
Salsman,NS ,2,Full,LT30ft
Caribou Munroes,NS ,2,Full,LT20ft
Five Islands,NS ,2,Senior,LT20ft
Amherst Shore,BC ,4,Full,Tents
Salsman,NS ,2,Full,LT40ft
Porters Lake,NS ,2,Full,ST
Thomas Raddall,NS ,2,Full,ST
Dollar Lake,NS ,6,Full,Tents
Thomas Raddall,ON ,1,Full,ST
The Islands,QC ,4,Full,LT20ft
Boylston,NS ,1,Full,ST
Graves Island,NS ,3,Full,LT20ft
Caribou Munroes,ON ,2,Full,ST
Caribou Munroes,NS ,3,Full,ST
Mira River,NS ,2,Full,ST
Blomidon,NS ,2,Senior,LT30ft
Mira River,NS ,4,Full,LT30ft
Graves Island,NS ,2,Senior,LT30ft
Mira River,NS ,2,Full,LT30ft
Rissers Beach,NS ,4,Full,LT20ft
Graves Island,NS ,2,Full,LT30ft
Battery,ON ,2,Full,ST
Smileys,NS ,5,Senior,LT30ft
Graves Island,NS ,2,Full,LT20ft
Thomas Raddall,ON ,2,Full,LT20ft
Laurie,NS ,6,Full,ST
Graves Island,NS ,4,Full,LT30ft
Rissers Beach,NS ,2,Full,LT20ft
Rissers Beach,NS ,2,Full,LT20ft
Caribou Munroes,NS ,5,Full,ST
Five Islands,PE ,2,Full,ST
Five Islands,ON ,4,Full,LT20ft
Cape Chignecto,ON ,4,Full,Cabin
Laurie,QC ,2,Full,LT20ft
Graves Island,NS ,2,Full,LT40ft
Dollar Lake,NS ,5,Full,LT20ft
Graves Island,NS ,2,Full,Tents
Dollar Lake,NS ,6,Full,ST
Five Islands,NS ,2,Senior,ST
Blomidon,NB ,4,Full,ST
Laurie,NS ,2,Senior,LT30ft
Amherst Shore,NS ,2,Full,LT30ft
Caribou Munroes,ON ,1,Full,ST
Caribou Munroes,ON ,2,Full,LT20ft
Rissers Beach,NS ,2,Full,LT30ft
Caribou Munroes,NS ,2,Full,LT30ft
Battery,NS ,4,Full,ST
Graves Island,NS ,2,Senior,LT30ft
Rissers Beach,NS ,4,Full,LT30ft
Rissers Beach,NS ,3,Full,ST
Dollar Lake,NS ,4,Full,ST
Graves Island,NS ,4,Full,Tents
Blomidon,BC ,2,Full,ST
Whycocomagh,QC ,5,Full,ST
Graves Island,NS ,2,Full,LT40ft
Smileys,NS ,4,Full,LT20ft
Ellenwood Lake,NS ,4,Full,ST
Ellenwood Lake,NS ,2,Senior,LT20ft
Amherst Shore,NS ,2,Full,ST
Graves Island,NS ,4,Senior,LT30ft
Graves Island,NS ,2,Full,ST
Rissers Beach,NS ,2,Full,LT30ft
Mira River,QC ,2,Full,LT20ft
Graves Island,NS ,2,Full,ST
Amherst Shore,NB ,4,Full,ST
Blomidon,QC ,2,Full,ST
Cape Chignecto,PE ,2,Full,ST
Thomas Raddall,NS ,1,Full,ST
Graves Island,NS ,4,Full,LT20ft
Blomidon,NS ,4,Full,ST
Battery,NS ,2,Full,ST
Smileys,NS ,4,Full,LT30ft
Five Islands,NS ,4,Full,Tents
Rissers Beach,NS ,2,Senior,LT40ft
Whycocomagh,BC ,2,Full,ST
Battery,ON ,4,Full,LT30ft
Graves Island,PE ,1,Full,ST
Dollar Lake,NS ,2,Full,ST
Five Islands,NS ,2,Full,ST
Battery,QC ,2,Full,LT30ft
Graves Island,QC ,1,Full,LT20ft
Laurie,NS ,6,Full,Tents
Blomidon,NS ,1,Senior,ST
Rissers Beach,NS ,4,Full,LT30ft
